Company name,Symbol,Currency,Market cap,P/E ratio,Return on assets (5 yr avg) (%),Return on assets (Recent yr) (%)
Mac Charles (India) Ltd,507836,₹,4.65B,20.74,7.99,9
Lincoln Pharmaceuticals Ltd,531633,₹,4.60B,16.07,6.64,9.31
Orbit Exports Limited.,512626,₹,4.59B,21.54,15.46,11.63
Indraprastha Medical Corporation Limited,532150,₹,4.59B,23.57,6.64,5.69
Sarla Performance Fibers Ltd.,526885,₹,4.59B,13.16,7.07,6.44
Salasar Techno Engineering Ltd,540642,₹,4.58B,15.74,5.14,8.6
Jolly Board Ltd,502335,₹,4.50B,25.28,15.68,8.74
R Systems International Limited,532735,₹,4.50B,18.6,16.86,6.07
Indag Rubber Ltd,509162,₹,4.34B,19.67,18.55,10.82
Ganesh Benzoplast Ltd,500153,₹,4.31B,16.76,6.13,5.84
Vidhi Dyestuffs Manufacturing Ltd,531717,₹,4.18B,27.28,9.1,10.18
Anuh Pharma Ltd,506260,₹,4.13B,24.19,11.68,9.05
Kabra Extrusion Technik Limited,524109,₹,3.99B,28.17,8.41,10.65
Asahi Songwon Colors Limited,532853,₹,3.93B,13.18,7.56,10.78
Kesar Petroproducts Ltd,524174,₹,3.92B,12.9,11.59,17.98
Amrit Corporation Ltd,507525,₹,3.89B,18.85,5.37,5.24
Trigyn Technologies Ltd,517562,₹,3.87B,10.24,11.29,10.66
Premier Explosives Limited,526247,₹,3.86B,56.83,6.87,8.56
Suyog Telematics Ltd,537259,₹,3.83B,17.67,13.87,15.29
Fiberweb (India) Ltd,507910,₹,3.78B,10.5,6.44,19.2
Ruchira Papers Limited,532785,₹,3.73B,9.11,7.41,11.21
VETO Switch Gears And Cables Ltd,539331,₹,3.70B,13.78,9.18,12.69
Arrow Greentech Ltd,516064,₹,3.68B,18.27,38.32,35.55
